subject,dataset,modality,n_seq,feature,purity_gmm,ari_gmm,blocknull_gmm,blockp_gmm,cohesion_gmm,cohesion0_gmm,purity_kmeans,ari_kmeans,blocknull_kmeans,blockp_kmeans,cohesion_kmeans,cohesion0_kmeans,silhouette,silhouette_label
S06,Talia,Dig,24,diffERP_all,0.75,0.2159,0.6093,0.1459,0.5,0.25,0.75,0.2159,0.6093,0.1459,0.5,0.25,0.4919,0.1695
S07,Talia,Dig,24,diffERP_all,0.7917,0.3157,0.6122,0.0305,0.625,0.3802,0.8333,0.4221,0.6157,0.0305,0.625,0.3333,0.4883,0.3146
S08,Talia,Dig,24,diffERP_all,0.5833,-0.0151,0.5784,0.6571,0.25,0.2708,0.5833,-0.0151,0.5784,0.6571,0.25,0.2708,0.405,0.0552
S09,Talia,Dig,24,diffERP_all,0.7917,0.3122,0.6117,0.0586,0.5,0.2969,0.7917,0.3105,0.6044,0.0305,0.375,0.2552,0.5315,0.2589
S10,Talia,Dig,23,diffERP_all,0.7826,0.2877,0.6125,0.0871,0.5,0.2935,0.7826,0.2877,0.6125,0.0871,0.5,0.2935,0.4204,0.1131
S11,Talia,Dig,24,diffERP_all,0.7917,0.3157,0.626,0.1472,0.75,0.3802,0.875,0.5428,0.6267,0.0305,0.625,0.2552,0.3566,0.2859
S12,Talia,Dig,24,diffERP_all,0.7917,0.3105,0.6194,0.1168,0.5,0.2552,0.9167,0.6806,0.6308,0.0305,0.75,0.25,0.3637,0.355
S13,Talia,Dig,24,diffERP_all,0.6667,0.0719,0.5789,0.2605,0.25,0.2708,0.5417,-0.0379,0.5919,1.0,0.25,0.2552,0.454,0.0275
S14,Talia,Dig,24,diffERP_all,0.9167,0.6806,0.63,0.0305,0.75,0.25,0.9167,0.6806,0.6307,0.0305,0.75,0.25,0.385,0.3244
S15,Talia,Dig,24,diffERP_all,0.625,0.0202,0.5748,0.3709,0.125,0.2552,0.625,0.0202,0.5748,0.3709,0.125,0.2552,0.4939,0.0301
