dataset,subject,measure,stat,z,p,n_assignments,q
Angelique,S08,csp2_mean,2.1288189657188212,-1.8440084902021256,0.890625,64,0.9793526785714286
Angelique,S09,csp2_mean,5.296201918085536,-1.3273334705707989,0.9140625,64,0.9793526785714286
Angelique,S10,csp2_mean,9.751116030189984,1.5167358588050022,0.0703125,64,0.9793526785714286
Angelique,S11,csp2_mean,18.33368054518443,0.3919396572980802,0.3984375,64,0.9793526785714286
Angelique,S13,csp2_mean,2.721255645653576,-0.7248236077844895,0.6328125,64,0.9793526785714286
Angelique,S15,csp2_mean,2.986822357453141,-0.6859053032306351,0.6484375,64,0.9793526785714286
Angelique,S16,csp2_mean,1.394579146925043,-1.6906274246873814,0.984375,32,0.984375
Angelique,S18,csp2_mean,3.0906315318355695,-0.9233677832867112,0.8359375,64,0.9793526785714286
Angelique,S19,csp2_mean,4.141183360177802,-1.3468640296756076,0.8984375,64,0.9793526785714286
Angelique,S21,csp2_mean,1.1705903841367054,-0.7379331305326831,0.734375,64,0.9793526785714286
Angelique,S22,csp2_mean,2.8082288586919404,0.027092250823512933,0.5546875,64,0.9793526785714286
Angelique,S23,csp2_mean,8.683306817823091,0.3761978838676159,0.4140625,64,0.9793526785714286
Angelique,S24,csp2_mean,7.315069906390196,0.9413264159243909,0.2265625,64,0.9793526785714286
Angelique,S25,csp2_mean,3.0837346526262586,0.004602150180084041,0.609375,64,0.9793526785714286
Angelique,S26,csp2_mean,1.375467123856975,-0.47293314149072974,0.6953125,64,0.9793526785714286
Angelique,S27,csp2_mean,10.673527837696781,0.8347346687776157,0.1953125,64,0.9793526785714286
Angelique,S28,csp2_mean,2.728074783118391,-0.9705717677531484,0.8671875,64,0.9793526785714286
Angelique,S29,csp2_mean,10.75665978282186,-0.38690918385537765,0.6015625,64,0.9793526785714286
Angelique,S31,csp2_mean,1.280942167619905,-0.45365195585291385,0.6484375,64,0.9793526785714286
Angelique,S32,csp2_mean,1.7838826490376576,-1.048827458816994,0.8515625,64,0.9793526785714286
Angelique,S33,csp2_mean,8.531245473981496,-1.076020043811318,0.8671875,64,0.9793526785714286
Angelique,S34,csp2_mean,4.5372669756342905,-1.0942781843789964,0.8515625,64,0.9793526785714286
Angelique,S35,csp2_mean,4.2834668451975055,-1.1288966475641478,0.8046875,64,0.9793526785714286
Angelique,S37,csp2_mean,0.2031092902658287,-1.7100886981663845,0.953125,64,0.984375
Angelique,S38,csp2_mean,1.2244379328687565,0.10005848026840856,0.484375,64,0.9793526785714286
Talia,S01,csp2_mean,1.7601548435887437,1.2587938179810567,0.0625,16,0.46875
Talia,S02,csp2_mean,2.995406720197396,0.37465162812816133,0.28125,16,0.5729166666666666
Talia,S03,csp2_mean,0.8287485705920687,1.908673197624924,0.0625,16,0.46875
Talia,S04,csp2_mean,0.5840431271219586,-0.9743207356389445,0.84375,16,0.84375
Talia,S05,csp2_mean,2.2011466691908126,0.8856091402961441,0.21875,16,0.5729166666666666
Talia,S06,csp2_mean,2.425414085023551,-0.26405804083328505,0.5625,16,0.7421875
Talia,S07,csp2_mean,2.3899166054172163,0.2132137642797658,0.46875,16,0.703125
Talia,S08,csp2_mean,4.922580283545637,1.0796759249152874,0.15625,16,0.5729166666666666
Talia,S09,csp2_mean,1.1049026920128604,0.1681984247423026,0.59375,16,0.7421875
Talia,S10,csp2_mean,0.5640999987152977,0.6947568733521147,0.3125,16,0.5729166666666666
Talia,S11,csp2_mean,0.8533929694481479,-0.4621595641266935,0.8125,16,0.84375
Talia,S12,csp2_mean,26.939285248519894,1.2802362094641346,0.15625,16,0.5729166666666666
Talia,S13,csp2_mean,0.6556905034926181,0.22932498081319894,0.34375,16,0.5729166666666666
Talia,S14,csp2_mean,0.8215429688645042,-1.0250847700690187,0.84375,16,0.84375
Talia,S15,csp2_mean,0.46959228887438087,0.244130032093741,0.34375,16,0.5729166666666666
