dataset,subject,elec_idx,elec,z,p
Angelique,S08,12,t12,0.9649,0.16406
Angelique,S08,13,t13,0.9246,0.19531
Angelique,S08,14,t14,0.6601,0.24219
Angelique,S08,15,t15,0.3629,0.35156
Angelique,S08,16,t16,0.0326,0.47656
Angelique,S08,17,t17,-0.2448,0.58594
Angelique,S08,18,t18,-0.412,0.69531
Angelique,S08,19,t19,-0.4058,0.64844
Angelique,S08,20,t20,-0.2211,0.58594
Angelique,S08,21,t21,0.145,0.41406
Angelique,S08,22,t22,0.4005,0.36719
Angelique,S08,23,t23,0.572,0.30469
Angelique,S08,24,t24,0.3443,0.35156
Angelique,S08,25,t25,-0.0772,0.53906
Angelique,S08,26,t26,-0.3056,0.58594
Angelique,S08,27,t27,-0.3481,0.61719
Angelique,S08,28,t28,-0.4075,0.63281
Angelique,S08,29,t29,-0.5671,0.69531
Angelique,S08,30,t30,-0.7905,0.77344
Angelique,S08,31,t31,-0.9554,0.77344
Angelique,S08,32,t32,-1.1266,0.80469
Angelique,S08,33,t33,-1.2937,0.85156
Angelique,S08,34,t34,-1.301,0.86719
Angelique,S08,35,t35,-1.1234,0.86719
Angelique,S08,36,t36,-0.9617,0.83594
Angelique,S08,37,t37,-0.9138,0.82031
Angelique,S08,38,t38,-0.8108,0.78906
Angelique,S08,39,t39,-0.549,0.69531
Angelique,S08,40,t40,-0.1401,0.58594
Angelique,S08,41,t41,0.4944,0.35156
Angelique,S08,42,t42,1.1515,0.13281
Angelique,S08,43,t43,1.4238,0.05469
Angelique,S08,44,t44,1.4963,0.05469
Angelique,S08,45,t45,1.5232,0.03906
Angelique,S08,46,t46,1.5068,0.03906
Angelique,S08,47,t47,1.5354,0.03906
Angelique,S08,48,t48,1.6902,0.03906
Angelique,S08,49,t49,1.8632,0.02344
Angelique,S08,50,t50,1.9601,0.00781
Angelique,S08,51,t51,1.9611,0.02344
Angelique,S08,52,t52,1.8815,0.02344
Angelique,S08,53,t53,1.7985,0.03906
Angelique,S08,54,t54,1.7658,0.03906
Angelique,S08,55,t55,1.7751,0.00781
Angelique,S08,56,t56,1.845,0.00781
Angelique,S08,57,t57,1.7878,0.00781
Angelique,S08,58,t58,1.4655,0.07031
Angelique,S08,59,t59,1.2623,0.03906
Angelique,S08,60,t60,1.2467,0.08594
Angelique,S08,61,t61,1.1192,0.16406
Angelique,S08,62,t62,0.7483,0.24219
Angelique,S08,63,t63,0.2071,0.41406
Angelique,S09,0,t00,1.7504,0.03906
Angelique,S09,1,t01,1.7158,0.05469
Angelique,S09,2,t02,1.2418,0.11719
Angelique,S09,3,t03,0.8168,0.19531
Angelique,S09,4,t04,0.6362,0.27344
Angelique,S09,5,t05,0.917,0.19531
Angelique,S09,6,t06,1.1648,0.10156
Angelique,S09,7,t07,0.8917,0.21094
Angelique,S09,8,t08,0.5829,0.28906
Angelique,S09,9,t09,0.7656,0.22656
Angelique,S09,10,t10,1.1371,0.13281
Angelique,S09,11,t11,1.5538,0.07031
Angelique,S09,12,t12,1.9596,0.00781
Angelique,S09,13,t13,2.0442,0.02344
Angelique,S09,14,t14,1.9993,0.02344
Angelique,S09,15,t15,1.9912,0.00781
Angelique,S09,16,t16,1.8151,0.00781
Angelique,S09,17,t17,1.595,0.03906
Angelique,S09,18,t18,-0.0598,0.52344
Angelique,S09,19,t19,-0.1116,0.52344
Angelique,S09,20,t20,-0.2337,0.58594
Angelique,S09,21,t21,-0.3215,0.61719
Angelique,S09,22,t22,0.2058,0.42969
Angelique,S09,23,t23,0.6821,0.27344
Angelique,S09,24,t24,0.9435,0.19531
Angelique,S09,25,t25,1.5409,0.10156
Angelique,S09,26,t26,1.9162,0.02344
Angelique,S09,27,t27,1.2992,0.13281
Angelique,S09,28,t28,-0.2564,0.64844
Angelique,S09,29,t29,-1.7034,0.94531
Angelique,S09,30,t30,-0.2052,0.57031
Angelique,S09,31,t31,0.9484,0.17969
Angelique,S09,32,t32,1.6588,0.07031
