dataset,subject,elec_idx,elec,z,p
Angelique,S07,42,FT8,-0.2987,0.60156
Angelique,S07,43,FC6,0.0448,0.49219
Angelique,S07,44,FC4,0.6773,0.24219
Angelique,S07,45,FC2,-0.282,0.55469
Angelique,S07,46,FCz,0.7308,0.27344
Angelique,S07,47,Cz,0.9503,0.21094
Angelique,S07,48,C2,0.394,0.38281
Angelique,S07,49,C4,0.9988,0.14844
Angelique,S07,50,C6,0.5776,0.30469
Angelique,S07,51,T8,0.3093,0.41406
Angelique,S07,52,TP8,1.2861,0.10156
Angelique,S07,53,CP6,0.2765,0.39844
Angelique,S07,54,CP4,-0.1279,0.57031
Angelique,S07,55,CP2,0.1841,0.41406
Angelique,S07,56,P2,0.0648,0.49219
Angelique,S07,57,P4,0.3262,0.28906
Angelique,S07,58,P6,1.4329,0.11719
Angelique,S07,59,P8,1.7512,0.02344
Angelique,S07,60,P10,1.5934,0.07031
Angelique,S07,61,PO8,1.8219,0.03906
Angelique,S07,62,PO4,1.3345,0.10156
Angelique,S07,63,O2,1.6483,0.03906
Angelique,S07,64,PO9,0.5075,0.30469
Angelique,S07,65,I1,1.0878,0.17969
Angelique,S07,66,I2,1.4031,0.10156
Angelique,S07,67,PO10,1.7606,0.03906
Angelique,S08,0,Fp1,0.9466,0.17969
Angelique,S08,1,AF7,1.0841,0.13281
Angelique,S08,2,AF3,0.6569,0.32031
Angelique,S08,3,F1,0.1216,0.42969
Angelique,S08,4,F3,1.1829,0.14844
Angelique,S08,5,F5,1.2702,0.17969
Angelique,S08,6,F7,1.3354,0.08594
Angelique,S08,7,FT7,1.0439,0.17969
Angelique,S08,8,FC5,0.3749,0.32031
Angelique,S08,9,FC3,1.0051,0.19531
Angelique,S08,10,FC1,0.7114,0.24219
Angelique,S08,11,C1,-0.2488,0.58594
Angelique,S08,12,C3,1.1153,0.16406
Angelique,S08,13,C5,-0.5894,0.66406
Angelique,S08,14,T7,1.0498,0.14844
Angelique,S08,15,TP7,1.6672,0.05469
Angelique,S08,16,CP5,1.7943,0.00781
Angelique,S08,17,CP3,0.0424,0.47656
Angelique,S08,18,CP1,-0.662,0.66406
Angelique,S08,19,P1,-1.3472,0.89844
Angelique,S08,20,P3,1.2636,0.11719
Angelique,S08,21,P5,-0.0759,0.50781
Angelique,S08,22,P7,2.0095,0.02344
Angelique,S08,23,P9,1.1464,0.13281
Angelique,S08,24,PO7,-0.1357,0.53906
Angelique,S08,25,PO3,-1.23,0.88281
Angelique,S08,26,O1,-0.5954,0.71094
Angelique,S08,27,Iz,-0.0709,0.50781
Angelique,S08,28,Oz,0.1108,0.44531
Angelique,S08,29,POz,-0.7281,0.74219
Angelique,S08,30,Pz,-1.0396,0.80469
Angelique,S08,31,CPz,-0.6157,0.66406
Angelique,S08,32,Fpz,-0.7898,0.77344
Angelique,S08,33,Fp2,0.1565,0.44531
Angelique,S08,34,AF8,1.8051,0.02344
Angelique,S08,35,AF4,0.7226,0.32031
Angelique,S08,36,AFz,0.2265,0.41406
Angelique,S08,37,Fz,-0.1443,0.55469
Angelique,S08,38,F2,0.3824,0.33594
Angelique,S08,39,F4,0.543,0.35156
Angelique,S08,40,F6,1.231,0.16406
Angelique,S08,41,F8,0.9467,0.14844
Angelique,S08,42,FT8,1.1448,0.21094
Angelique,S08,43,FC6,0.6388,0.27344
Angelique,S08,44,FC4,0.5815,0.28906
Angelique,S08,45,FC2,-0.5869,0.67969
Angelique,S08,46,FCz,0.0078,0.47656
Angelique,S08,47,Cz,-0.3722,0.63281
Angelique,S08,48,C2,0.6176,0.33594
Angelique,S08,49,C4,-1.0324,0.78906
Angelique,S08,50,C6,1.7198,0.03906
Angelique,S08,51,T8,0.8894,0.19531
