dataset,subject,elec_idx,elec,z,p
Angelique,S07,42,t42,1.3198,0.07031
Angelique,S07,43,t43,1.3006,0.10156
Angelique,S07,44,t44,1.2152,0.14844
Angelique,S07,45,t45,1.1384,0.14844
Angelique,S07,46,t46,1.1695,0.10156
Angelique,S07,47,t47,1.2272,0.13281
Angelique,S07,48,t48,1.2633,0.11719
Angelique,S07,49,t49,1.2462,0.14844
Angelique,S07,50,t50,1.2527,0.14844
Angelique,S07,51,t51,1.3271,0.13281
Angelique,S07,52,t52,1.4525,0.07031
Angelique,S07,53,t53,1.5826,0.02344
Angelique,S07,54,t54,1.6398,0.02344
Angelique,S07,55,t55,1.5834,0.05469
Angelique,S07,56,t56,1.4329,0.11719
Angelique,S07,57,t57,1.231,0.11719
Angelique,S07,58,t58,1.0469,0.13281
Angelique,S07,59,t59,0.9121,0.22656
Angelique,S07,60,t60,0.801,0.25781
Angelique,S07,61,t61,0.6988,0.28906
Angelique,S07,62,t62,0.572,0.32031
Angelique,S07,63,t63,0.4111,0.35156
Angelique,S08,0,t00,0.8197,0.19531
Angelique,S08,1,t01,0.7942,0.19531
Angelique,S08,2,t02,0.6684,0.27344
Angelique,S08,3,t03,0.5104,0.32031
Angelique,S08,4,t04,0.5018,0.32031
Angelique,S08,5,t05,0.2733,0.38281
Angelique,S08,6,t06,0.0335,0.47656
Angelique,S08,7,t07,0.1666,0.44531
Angelique,S08,8,t08,0.5771,0.30469
Angelique,S08,9,t09,0.8229,0.19531
Angelique,S08,10,t10,0.8079,0.21094
Angelique,S08,11,t11,0.7433,0.19531
Angelique,S08,12,t12,0.7477,0.22656
Angelique,S08,13,t13,0.8344,0.22656
Angelique,S08,14,t14,0.9014,0.25781
Angelique,S08,15,t15,0.9218,0.21094
Angelique,S08,16,t16,0.9167,0.19531
Angelique,S08,17,t17,0.9211,0.19531
Angelique,S08,18,t18,0.9935,0.17969
Angelique,S08,19,t19,1.078,0.13281
Angelique,S08,20,t20,1.0884,0.14844
Angelique,S08,21,t21,1.1971,0.13281
Angelique,S08,22,t22,1.4382,0.07031
Angelique,S08,23,t23,1.5853,0.05469
Angelique,S08,24,t24,1.414,0.08594
Angelique,S08,25,t25,1.1571,0.13281
Angelique,S08,26,t26,1.0049,0.16406
Angelique,S08,27,t27,0.8576,0.21094
Angelique,S08,28,t28,0.6699,0.27344
Angelique,S08,29,t29,0.47,0.32031
Angelique,S08,30,t30,0.2667,0.41406
Angelique,S08,31,t31,0.0791,0.47656
Angelique,S08,32,t32,-0.0682,0.50781
Angelique,S08,33,t33,-0.1518,0.61719
Angelique,S08,34,t34,-0.1349,0.63281
Angelique,S08,35,t35,-0.0486,0.57031
Angelique,S08,36,t36,0.0071,0.49219
Angelique,S08,37,t37,-0.0442,0.52344
Angelique,S08,38,t38,-0.1923,0.60156
Angelique,S08,39,t39,-0.3381,0.67969
Angelique,S08,40,t40,-0.3365,0.71094
Angelique,S08,41,t41,-0.0931,0.57031
Angelique,S08,42,t42,0.2595,0.38281
Angelique,S08,43,t43,0.3941,0.32031
Angelique,S08,44,t44,0.2151,0.41406
Angelique,S08,45,t45,0.0195,0.49219
Angelique,S08,46,t46,0.0171,0.49219
Angelique,S08,47,t47,0.1455,0.44531
Angelique,S08,48,t48,0.2909,0.42969
Angelique,S08,49,t49,0.3878,0.38281
Angelique,S08,50,t50,0.457,0.33594
Angelique,S08,51,t51,0.5454,0.28906
Angelique,S08,52,t52,0.6276,0.27344
Angelique,S08,53,t53,0.6554,0.25781
Angelique,S08,54,t54,0.6313,0.25781
Angelique,S08,55,t55,0.5784,0.27344
Angelique,S08,56,t56,0.4915,0.32031
Angelique,S08,57,t57,0.3424,0.35156
