dataset,subject,variant,arm,stat,z,p,n_assignments
Angelique,S37,A2_roi8,ctrl,-0.04411484577328004,-0.991498069601553,0.828125,64
Angelique,S38,A2_roi8,ctrl,-0.015263298821799288,0.8741148593312416,0.265625,64
Talia,S01,A2_roi8,ctrl,-0.021450413516543733,0.7325812634387769,0.1875,16
Talia,S02,A2_roi8,ctrl,-0.054832083232591755,-1.482854537105417,0.9375,16
Talia,S03,A2_roi8,ctrl,-0.042360566073953415,-0.08387646118708322,0.5625,16
Talia,S04,A2_roi8,ctrl,-0.05390333383371984,-0.9985238642249312,0.8125,16
Talia,S05,A2_roi8,ctrl,-0.0514872183800623,-0.2696782203004605,0.5625,16
Talia,S06,A2_roi8,ctrl,-0.054422541629875476,-0.9187960206146542,0.6875,16
Talia,S07,A2_roi8,ctrl,-0.016812078408929725,1.2050359520565457,0.1875,16
Talia,S08,A2_roi8,ctrl,-0.021796296486213868,0.8586945554901508,0.1875,16
Talia,S09,A2_roi8,ctrl,-0.04636217909476256,-1.0386348915987487,0.8125,16
Talia,S10,A2_roi8,ctrl,-0.07295097885075519,-1.2723194219538996,0.9375,16
Talia,S11,A2_roi8,ctrl,-0.01807787717304614,1.4768812025427813,0.0625,16
Talia,S12,A2_roi8,ctrl,-0.01543672219958322,-1.217169079384505,0.9375,16
Talia,S13,A2_roi8,ctrl,-0.013427116179990477,0.9439044374299927,0.1875,16
Talia,S14,A2_roi8,ctrl,-0.0260879690104615,-0.8395189154938089,0.8125,16
Talia,S15,A2_roi8,ctrl,-0.030478968892340346,0.7404409929706839,0.1875,16
Angelique,S02,A3_all68_k8,disc,0.003470693736711681,0.2580468658001661,0.390625,64
Angelique,S03,A3_all68_k8,disc,0.0036104445483321345,1.6301515349248994,0.046875,64
Angelique,S04,A3_all68_k8,disc,-0.002842330177547023,-0.5171288710333595,0.640625,64
Angelique,S05,A3_all68_k8,disc,0.000206260230630644,0.32232661311262156,0.484375,64
Angelique,S07,A3_all68_k8,disc,0.011907623479120394,1.9601300738821368,0.015625,64
Angelique,S08,A3_all68_k8,disc,-0.0022352404141539506,-0.3420383484557827,0.546875,64
Angelique,S09,A3_all68_k8,disc,0.0016566717070594416,1.119523070398261,0.109375,64
Angelique,S10,A3_all68_k8,disc,-9.31826563426453e-05,1.178848121647147,0.203125,64
Angelique,S11,A3_all68_k8,disc,0.004095590839919343,1.535207296495043,0.046875,64
Angelique,S13,A3_all68_k8,disc,0.012547889313015136,1.618081997925406,0.109375,64
Angelique,S15,A3_all68_k8,disc,0.012284699048152646,2.189191286497402,0.046875,64
Angelique,S16,A3_all68_k8,disc,0.006675757329285225,1.8553260905051872,0.046875,32
Angelique,S18,A3_all68_k8,disc,0.004230558777494246,0.7173393286778341,0.265625,64
Angelique,S19,A3_all68_k8,disc,-0.002328210197893879,0.011563509199270676,0.453125,64
Angelique,S21,A3_all68_k8,disc,-0.003258269584464205,0.4692069442284854,0.296875,64
Angelique,S22,A3_all68_k8,disc,-0.0023479258538217393,-0.4407885388015116,0.640625,64
Angelique,S23,A3_all68_k8,disc,0.0007294396951984481,0.7012652911348516,0.296875,64
Angelique,S24,A3_all68_k8,disc,0.012588660906567977,1.8184708422768856,0.046875,64
Angelique,S25,A3_all68_k8,disc,-0.0002717257245545745,0.6641641832432521,0.234375,64
Angelique,S26,A3_all68_k8,disc,0.0027047197817317956,0.8250966502923878,0.203125,64
