dataset,subject,modality,font,delta_snr,mean_par_snr,mean_ctrl_snr,delta_erp,mean_par_erp,mean_ctrl_erp
Angelique,S33,NumWoGE,20F/S,-1.631032407283783,0.9819778800010681,2.613010287284851,-0.08101078867912292,0.47466108202934265,0.5556718707084656
Angelique,S34,Dig,1F,-0.7418124973773956,1.0713184177875519,1.8131309151649475,-0.10952368378639221,0.5461554527282715,0.6556791365146637
Angelique,S34,Dig,20F/A,0.6100602746009827,2.4466432929039,1.8365830183029175,0.0901995301246643,0.6321187913417816,0.5419192612171173
Angelique,S34,Dig,20F/S,0.9607995748519897,2.3106367588043213,1.3498371839523315,0.004144251346588135,0.5946603417396545,0.5905160903930664
Angelique,S34,NumWoGE,1F,0.5677744746208191,1.4523504376411438,0.8845759630203247,-0.02017351984977722,0.5415116846561432,0.5616852045059204
Angelique,S34,NumWoGE,20F/A,-0.5428273677825928,0.7504008114337921,1.2932281792163849,-0.07141600549221039,0.45753322541713715,0.5289492309093475
Angelique,S34,NumWoGE,20F/S,-0.13616341352462769,1.1872218251228333,1.323385238647461,-0.02400718629360199,0.5321430265903473,0.5561502128839493
Angelique,S35,Dig,1F,0.6542802900075912,1.268089920282364,0.6138096302747726,0.08024930953979492,0.7369669079780579,0.6567175984382629
Angelique,S35,Dig,20F/A,0.4903140068054199,1.4913672804832458,1.001053273677826,0.06623378396034241,0.7881530523300171,0.7219192683696747
Angelique,S35,Dig,20F/S,0.7946310639381409,1.4460394978523254,0.6514084339141846,0.32145319879055023,0.8040383458137512,0.482585147023201
Angelique,S35,NumWoGE,1F,-1.0373031795024872,0.5915781557559967,1.6288813352584839,-0.18281227350234985,0.48595765233039856,0.6687699258327484
Angelique,S35,NumWoGE,20F/A,0.4541012942790985,1.2903027534484863,0.8362014591693878,0.12036840617656708,0.6529811769723892,0.5326127707958221
Angelique,S35,NumWoGE,20F/S,0.948093444108963,2.101532816886902,1.1534393727779388,0.01824808120727539,0.7255242466926575,0.7072761654853821
Angelique,S37,Dig,1F,0.30664725601673126,1.1073354482650757,0.8006881922483444,0.2621784508228302,0.9810248613357544,0.7188464105129242
Angelique,S37,Dig,20F/A,-0.33745554089546204,0.7396051585674286,1.0770606994628906,-0.12240666151046753,0.782165139913559,0.9045718014240265
Angelique,S37,Dig,20F/S,0.3361515700817108,1.0336156785488129,0.697464108467102,-0.0037588179111480713,0.9081695973873138,0.9119284152984619
Angelique,S37,NumWoGE,1F,-0.4007077217102051,1.102838933467865,1.50354665517807,-0.03191983699798584,0.9773932099342346,1.0093130469322205
Angelique,S37,NumWoGE,20F/A,-0.1343393325805664,0.9149957299232483,1.0493350625038147,0.05342906713485718,0.9130493402481079,0.8596202731132507
Angelique,S37,NumWoGE,20F/S,0.1981925368309021,1.5465718507766724,1.3483793139457703,-0.1775156557559967,0.8290101885795593,1.006525844335556
Angelique,S38,Dig,1F,1.0615295767784119,2.2255991101264954,1.1640695333480835,0.09855267405509949,0.9380061030387878,0.8394534289836884
Angelique,S38,Dig,20F/A,-0.5049142837524414,0.7543563842773438,1.2592706680297852,-0.020239323377609253,0.6431789100170135,0.6634182333946228
Angelique,S38,Dig,20F/S,0.2161199152469635,1.457858145236969,1.2417382299900055,0.007071077823638916,0.7537322342395782,0.7466611564159393
Angelique,S38,NumWoGE,1F,-0.007669955492019653,1.5654089748859406,1.5730789303779602,-0.10300162434577942,0.7678331136703491,0.8708347380161285
Angelique,S38,NumWoGE,20F/A,0.2714214026927948,1.5308447778224945,1.2594233751296997,-0.000518798828125,0.7377975583076477,0.7383163571357727
Angelique,S38,NumWoGE,20F/S,-0.20138823986053467,1.0946954488754272,1.296083688735962,0.053301215171813965,0.7500340342521667,0.6967328190803528
Talia,S01,Dig,10F/M,-0.2737736105918883,0.8414372404416403,1.1152108510335286,-0.1452806989351909,0.7396223346392313,0.8849030335744222
Talia,S01,Dig,10F/S,0.12283025185267127,0.9360834757486979,0.8132532238960266,-0.004935503005981445,0.83827805519104,0.8432135581970215
Talia,S01,Dig,1F,0.6516633232434591,1.3848673502604167,0.7332040270169576,0.16194039583206177,0.847931702931722,0.6859913070996603
Talia,S01,Dig,20F/HD,-0.2732150355974833,0.9141013820966085,1.1873164176940918,-0.01030421257019043,0.7708177367846171,0.7811219493548075
Talia,S02,Dig,10F/M,0.09127867221832275,0.9358002344767252,0.8445215622584025,0.08353052536646527,0.5114715695381165,0.4279410441716512
Talia,S02,Dig,10F/S,0.7093290090560913,1.728502631187439,1.0191736221313477,0.1141143639882406,0.5637021859486898,0.4495878219604492
Talia,S02,Dig,1F,0.42817507187525417,1.6728440125783284,1.2446689407030742,0.005401502052942875,0.5466917753219604,0.5412902732690176
Talia,S02,Dig,20F/HD,0.459033747514089,1.3516890207926433,0.8926552732785543,0.04613363742828369,0.5110209882259369,0.4648873507976532
Talia,S03,Dig,10F/M,0.2805108428001404,1.3312668999036152,1.0507560571034749,-0.1216419637203216,0.44581804672876996,0.5674600104490916
Talia,S03,Dig,10F/S,0.4596343239148457,1.5963236888249714,1.1366893649101257,0.029583026965459225,0.4380570153395335,0.4084739883740743
