dataset,subject,modality,font_label,condition,seq_name,block_id,snr_disc_all,global_SNR_3.75,global_SNR_7.5,global_SNR_11.25,global_SNR_15,global_SNR_18.75,global_logP_3.75,global_logP_7.5,global_logP_11.25,global_logP_15,global_logP_18.75,global_SNR_ratio
Angelique,S20,NumWoGE,1F,Control,sequence_1,S20|NumWoGE|1F|Control,0.7970876097679138,0.7970876097679138,3.8000426292419434,4.168398857116699,3.166785478591919,1.5868674516677856,6.283517837524414,7.177254676818848,7.151832103729248,6.447189807891846,6.105865001678467,0.6449769139289856
Angelique,S20,NumWoGE,1F,Par,sequence_0,S20|NumWoGE|1F|Par,0.9288135170936584,0.9288135170936584,3.6209120750427246,1.0157268047332764,2.731675148010254,1.103318452835083,6.53336238861084,7.092663288116455,6.359620571136475,6.285516738891602,5.869029998779297,1.624017596244812
Angelique,S20,NumWoGE,1F,Par,sequence_1,S20|NumWoGE|1F|Par,0.9012598395347595,0.9012598395347595,4.040607929229736,2.540311574935913,3.0751898288726807,1.2097930908203125,6.462100505828857,6.98044490814209,6.842751502990723,6.3863630294799805,5.922628402709961,2.1242856979370117
Angelique,S20,NumWoGE,20F/A,Control,sequence_0,S20|NumWoGE|20F/A|Control,0.7986931800842285,0.7986931800842285,2.8616256713867188,1.676352620124817,3.0072011947631836,1.394923210144043,6.417118072509766,7.031851291656494,6.892353057861328,6.447714805603027,6.089046478271484,0.6078685522079468
Angelique,S20,NumWoGE,20F/A,Control,sequence_1,S20|NumWoGE|20F/A|Control,1.6009188890457153,1.6009188890457153,4.676932334899902,0.41633257269859314,1.9070576429367065,1.0186872482299805,6.786113262176514,7.267052173614502,6.469234466552734,6.095427513122559,5.814550399780273,0.842275083065033
Angelique,S20,NumWoGE,20F/A,Par,sequence_0,S20|NumWoGE|20F/A|Par,0.7827029228210449,0.7827029228210449,3.670966625213623,1.3729982376098633,2.4395487308502197,0.5601856112480164,6.473513603210449,6.942592144012451,6.488202095031738,6.087169647216797,5.595582008361816,0.9419506192207336
Angelique,S20,NumWoGE,20F/A,Par,sequence_1,S20|NumWoGE|20F/A|Par,0.673195481300354,0.673195481300354,1.451624870300293,0.2204030305147171,2.703012228012085,1.4273829460144043,6.487773895263672,7.209895133972168,6.135674476623535,6.47667121887207,6.00594425201416,1.1335623264312744
Angelique,S20,NumWoGE,20F/S,Control,sequence_0,S20|NumWoGE|20F/S|Control,1.926712989807129,1.926712989807129,4.745047569274902,1.311342477798462,1.7822010517120361,0.8159191608428955,6.69627046585083,7.51054573059082,6.4092020988464355,6.267475605010986,5.809065341949463,1.031048059463501
Angelique,S20,NumWoGE,20F/S,Control,sequence_1,S20|NumWoGE|20F/S|Control,1.2129262685775757,1.2129262685775757,2.6645822525024414,2.3606040477752686,1.5132339000701904,0.9158867597579956,6.417224884033203,6.997330188751221,6.858748435974121,6.150269985198975,5.831692695617676,2.4413387775421143
Angelique,S20,NumWoGE,20F/S,Par,sequence_0,S20|NumWoGE|20F/S|Par,0.5217342972755432,0.5217342972755432,5.189059734344482,2.718872308731079,2.4147415161132812,1.3803452253341675,6.089456558227539,7.112446308135986,6.750675678253174,6.186639785766602,6.079879283905029,5.949588775634766
